real,euclidian,start_lon,dest_lon,start_lat,dest_lat
5029,4053.7329803064167,-73.987915,-73.957382,40.75473,40.782902
7949,6064.687406586747,-73.988365,-73.920486,40.720261,40.702522
5664,4225.728089387539,-73.989822,-74.009789,40.702522,40.737411
2688,2438.621299626404,-74.00573,-74.006401,40.717567,40.739521
4688,3144.4746046494947,-73.996536,-74.009888,40.747967,40.721535
2673,2190.5070911198077,-73.925537,-73.899651,40.759117,40.757832
1656,989.6017650977948,-73.975334,-73.964516,40.75259,40.756016
23204,13664.788645778852,-73.871323,-74.007263,40.773685,40.70697
14821,10549.780819389962,-73.874474,-73.993782,40.773952,40.745754
14267,10476.937294165135,-73.873024,-73.994598,40.774124,40.755241
2895,2550.1481039048313,-73.986336,-74.004639,40.734493,40.716232
3082,2588.3465116577845,-73.999588,-73.990707,40.733662,40.75597
4664,3027.5447226351325,-73.994659,-73.990356,40.750458,40.723392
21289,13571.544368930037,-73.974823,-74.015457,40.761833,40.643597
1758,1239.033902315432,-73.994293,-74.00631,40.726696,40.733093
10510,7758.622688846912,-73.914116,-73.975983,40.743721,40.795383
10132,7402.501754087971,-73.988029,-73.939072,40.743832,40.799133
2173,2098.5350131479936,-73.981934,-73.990463,40.779453,40.761703
2247,1945.0360671743972,-73.982079,-73.992722,40.778168,40.762634
8366,5996.567979699051,-74.001297,-73.941818,40.741295,40.711826
6519,5252.980669983051,-73.955254,-73.985352,40.7733,40.731903
2498,2329.1135365037103,-73.973648,-73.958763,40.792236,40.809898
7701,3774.808024437306,-73.999443,-73.960884,40.675259,40.692402
2,6.0150422770132685,-73.9785,-73.978455,40.786022,40.78598
2889,2360.7706756745033,-74.005173,-73.996658,40.740665,40.720417
17087,12694.0193646312,-73.790787,-73.924301,40.645313,40.69759
2770,1313.0590905872439,-73.981522,-73.993652,40.754696,40.747299
1151,689.734685323992,-73.982651,-73.981995,40.771572,40.777763
4261,2965.6553590893436,-73.97657,-73.942154,40.788502,40.793888
7559,6265.608983748391,-73.988007,-73.916512,40.759876,40.744797
3119,2287.320206294614,-73.991768,-73.991356,40.759712,40.739117
34439,19817.330551457435,-73.788681,-74.006065,40.641972,40.708717
3236,1977.5156879135175,-73.978195,-73.973373,40.751846,40.769272
3822,2407.0379626673357,-73.986061,-73.988274,40.743286,40.764896
1220,1205.630975729287,-73.98777,-73.980865,40.738327,40.747829
2263,2262.4007928708006,-73.9552,-73.968155,40.780117,40.762283
2558,1826.0972164560555,-73.95858,-73.951752,40.71339,40.728992
9381,6652.074682426478,-73.967728,-73.984947,40.771099,40.712646
4718,3536.4892867800836,-73.9981,-73.99189,40.722862,40.754356
6195,4122.639617057486,-73.990013,-73.981255,40.757164,40.720642
2827,1623.0076723754178,-73.994331,-73.987152,40.75016,40.736603
26527,16303.678801752465,-73.790123,-73.962975,40.646755,40.711857
2229,1843.6964384870976,-74.00309,-73.981697,40.727661,40.72438
1672,1404.914215470983,-73.977036,-73.981911,40.764267,40.752171
6218,4353.530809992087,-73.990288,-73.95507,40.714321,40.685711
14741,7311.3123665613275,-73.874664,-73.959122,40.774158,40.759621
8509,7531.523250545369,-74.008644,-73.978104,40.71981,40.783531
875,717.0504247280533,-73.96344,-73.961113,40.774643,40.780853
5249,4765.293151940756,-73.998192,-73.974586,40.722706,40.761681
2122,1855.9356686730014,-73.987823,-73.96907,40.764618,40.755901
4344,2859.1266575733894,-73.973877,-74.005379,40.750565,40.741138
1179,819.3165018388679,-73.983032,-73.973335,40.73877,40.73859
4994,2993.1098538461715,-73.963669,-73.92923,40.761677,40.768066
5034,3713.318097668079,-73.964653,-73.922928,40.756039,40.745491
1160,1072.497526576696,-73.922226,-73.925079,40.755074,40.745663
1583,1280.2314090970149,-73.982681,-73.979645,40.754101,40.765396
1513,1258.379294366827,-73.988113,-73.997238,40.737816,40.728859
3921,1192.1739796016154,-73.97654,-73.963318,40.715057,40.711311
8971,6862.469847853413,-73.987457,-73.959923,40.750217,40.808361
4539,3249.400683094744,-73.990692,-73.99147,40.756443,40.727188
6349,4600.6737926438145,-73.981461,-73.931396,40.741077,40.757408
2400,1902.0010899468894,-73.991051,-73.978142,40.734989,40.749023
537,391.54490954383107,-73.978226,-73.982315,40.729481,40.727821
4476,3138.504325899681,-73.99411,-73.961258,40.751247,40.764465
2036,2034.7231333214118,-73.977074,-73.965286,40.785,40.800983
2108,1551.7627495774757,-73.983414,-73.97831,40.761276,40.7747
6553,5461.668350298074,-73.985741,-73.959,40.726871,40.771652
4076,3773.2521607344343,-74.005135,-73.981758,40.719196,40.690247
15308,9605.545665098998,-73.954613,-74.01297,40.789433,40.715187
3179,2091.442113606906,-73.989281,-73.990944,40.731594,40.750385
2100,1854.6035252172596,-73.994102,-73.976654,40.746212,40.736073
1693,1566.7781604000363,-73.978432,-73.970757,40.745399,40.758244
5747,4594.946515856073,-74.00724,-73.959892,40.713104,40.692764
4808,3504.669121864088,-73.958473,-73.994141,40.764606,40.74847
6361,2984.7578021441145,-73.959442,-73.989861,40.720467,40.734138
3146,2306.147308352349,-74.001343,-74.007622,40.725342,40.705132
2640,2453.542246917121,-73.990646,-73.964348,40.774952,40.765549
23599,17233.30922993657,-73.803062,-73.978226,40.662243,40.741692
4699,3582.461963861817,-73.977699,-73.952278,40.752232,40.778061
13776,11984.447870878386,-73.991226,-73.930016,40.765278,40.862663
3669,2576.747394748218,-74.007584,-73.982658,40.740891,40.754272
2587,2205.6149384348114,-73.982025,-73.999077,40.764782,40.749737
1743,1509.1356543184877,-73.980461,-73.994331,40.742531,40.751099
2431,1854.2257047846,-73.935081,-73.918304,40.746578,40.735809
4272,4158.083198668789,-73.978256,-74.002159,40.752296,40.719563
128,89.6664348460125,-73.953842,-73.953011,40.785397,40.7859
1331,1128.9332171845265,-73.981262,-73.967918,40.688259,40.688679
3453,2448.7090776169384,-73.987358,-73.997635,40.736038,40.756657
2381,1296.0187933306145,-74.010162,-73.996056,40.720592,40.725178
1775,1115.9459542042846,-73.968872,-73.955879,40.798531,40.8004
2117,1677.8402525101997,-74.001038,-74.003067,40.746243,40.731213
6682,3653.5034368291304,-73.956818,-73.914642,40.771019,40.76366
2588,2019.1044602382492,-73.971947,-73.987793,40.762646,40.776264
3414,1887.5128344852649,-73.974541,-73.994499,40.732578,40.724937
3229,2342.921036883868,-73.969986,-73.997658,40.75312,40.751606
2717,2391.6337954322476,-74.001984,-73.991333,40.730125,40.75008
4046,2000.2108743809752,-73.977577,-73.976967,40.751835,40.733829
8462,6661.533410297214,-73.993752,-73.969269,40.74696,40.689938
